,14,6,7,15,13,9,avg_across_sites,feature_name
37,548.0,860.5,86.66666666666667,533.5,1867.0,1069.5,827.5277777777778,log_square_feet
42,39.5,1255.25,855.3333333333334,662.5,442.0,687.25,656.9722222222223,month
40,11.0,674.25,326.3333333333333,471.25,0.0,292.25,295.84722222222223,day
2,16.5,278.25,432.0,523.25,244.0,192.5,281.0833333333333,air_temperature
39,0.5,389.0,477.6666666666667,280.5,29.0,155.0,221.94444444444446,hour
0,0.0,0.0,693.6666666666666,602.0,0.0,0.0,215.94444444444443,year_built
10,19.0,149.75,289.3333333333333,325.5,114.0,176.0,178.93055555555554,air_temperature_max_lag7
43,35.5,23.0,0.0,168.0,558.5,229.0,169.0,primary_use_enc
19,13.5,440.75,115.33333333333333,138.0,5.5,135.75,141.47222222222223,dew_temperature_min_lag7
11,16.5,290.75,149.0,146.25,73.0,91.25,127.79166666666667,air_temperature_min_lag7
18,27.5,150.0,139.33333333333334,181.0,7.5,138.5,107.30555555555556,dew_temperature_max_lag7
4,19.0,128.0,125.66666666666667,225.25,11.5,114.5,103.98611111111113,dew_temperature
9,14.0,129.75,83.66666666666667,259.5,33.0,102.75,103.77777777777779,air_temperature_mean_lag7
17,16.0,87.5,90.33333333333333,217.0,13.5,132.5,92.80555555555554,dew_temperature_mean_lag7
38,0.0,32.5,247.33333333333334,107.5,40.0,92.75,86.68055555555556,weekday
24,0.0,7.5,241.66666666666666,193.25,0.0,31.25,78.94444444444444,precip_depth_1_hr_std_lag7
27,8.0,65.75,176.33333333333334,115.5,1.0,98.75,77.55555555555556,sea_level_pressure_min_lag7
33,3.5,128.25,76.66666666666667,147.25,0.0,66.75,70.40277777777779,wind_speed_mean_lag7
6,5.0,51.5,96.33333333333333,166.0,1.5,30.75,58.513888888888886,sea_level_pressure
26,3.0,106.25,59.666666666666664,114.75,0.5,58.0,57.02777777777777,sea_level_pressure_max_lag7
28,7.5,108.5,50.0,120.0,0.0,50.25,56.041666666666664,sea_level_pressure_std_lag7
34,2.0,107.25,29.333333333333332,124.25,0.0,60.0,53.805555555555564,wind_speed_max_lag7
25,10.5,124.0,69.0,85.25,0.0,29.0,52.958333333333336,sea_level_pressure_mean_lag7
36,0.0,1.75,18.333333333333332,148.75,0.0,95.0,43.97222222222223,wind_speed_std_lag7
29,12.5,52.0,32.666666666666664,136.5,0.0,23.25,42.819444444444436,wind_direction_mean_lag7
12,5.0,38.0,42.333333333333336,148.25,0.0,23.25,42.805555555555564,air_temperature_std_lag7
23,0.0,15.25,173.66666666666666,58.75,0.0,2.25,41.65277777777778,precip_depth_1_hr_min_lag7
21,0.0,22.25,150.66666666666666,29.0,0.0,3.75,34.27777777777778,precip_depth_1_hr_mean_lag7
32,3.0,16.5,31.666666666666668,128.25,0.0,17.5,32.81944444444445,wind_direction_std_lag7
30,0.5,16.5,36.0,83.0,0.0,47.5,30.583333333333332,wind_direction_max_lag7
5,0.0,2.0,30.333333333333332,125.5,0.0,4.25,27.013888888888886,precip_depth_1_hr
31,2.5,6.25,82.0,50.75,0.0,16.5,26.333333333333332,wind_direction_min_lag7
1,0.0,0.0,156.33333333333334,0.0,0.0,0.0,26.055555555555557,floor_count
22,0.0,20.5,46.666666666666664,45.0,0.0,6.5,19.777777777777775,precip_depth_1_hr_max_lag7
20,0.0,9.25,34.333333333333336,35.25,0.0,30.75,18.26388888888889,dew_temperature_std_lag7
13,0.5,23.25,0.0,23.25,0.0,20.25,11.208333333333334,cloud_coverage_mean_lag7
7,0.0,0.0,13.333333333333334,41.25,0.0,8.0,10.430555555555555,wind_direction
3,0.0,2.5,0.0,40.0,0.0,13.5,9.333333333333334,cloud_coverage
35,1.5,10.0,18.333333333333332,17.25,0.0,5.0,8.680555555555555,wind_speed_min_lag7
8,1.0,2.0,17.0,21.75,0.0,7.75,8.25,wind_speed
16,1.0,12.75,0.0,17.25,0.0,11.5,7.083333333333333,cloud_coverage_std_lag7
15,0.0,2.25,0.0,32.0,0.0,5.75,6.666666666666667,cloud_coverage_min_lag7
14,1.0,1.75,0.0,0.5,0.0,33.5,6.125,cloud_coverage_max_lag7
41,0.0,0.0,0.0,0.0,2.5,0.0,0.4166666666666667,weekend
