,1,15,14,7,11,2,10,avg_across_sites,feature_name
42,1825.0,42.0,45.0,276.0,1381.0,1220.0,528.0,759.5714285714286,month
37,358.5,0.0,327.5,11.0,1190.5,1000.0,265.5,450.42857142857144,log_square_feet
19,598.5,0.0,266.5,118.0,512.0,0.0,856.0,335.85714285714283,dew_temperature_min_lag7
18,806.0,0.0,135.0,120.0,252.5,42.0,698.0,293.35714285714283,dew_temperature_max_lag7
0,407.0,42.0,0.0,0.0,0.0,1524.0,0.0,281.85714285714283,year_built
2,206.0,15.0,5.5,515.0,572.0,134.0,449.5,271.0,air_temperature
40,698.5,0.0,0.0,0.0,339.5,109.5,696.0,263.35714285714283,day
39,290.5,0.0,3.5,19.0,863.5,190.0,0.0,195.21428571428572,hour
26,344.0,0.0,0.0,10.0,120.0,1.0,871.5,192.35714285714286,sea_level_pressure_max_lag7
10,304.0,0.0,118.0,220.0,477.5,70.0,113.0,186.07142857142858,air_temperature_max_lag7
11,430.0,0.0,6.5,41.0,460.5,250.0,94.0,183.14285714285714,air_temperature_min_lag7
27,220.0,0.0,0.0,82.0,316.5,0.0,552.0,167.21428571428572,sea_level_pressure_min_lag7
29,501.0,0.0,0.0,14.0,135.0,0.0,471.0,160.14285714285714,wind_direction_mean_lag7
33,154.0,0.0,0.0,24.0,513.5,0.0,232.0,131.92857142857142,wind_speed_mean_lag7
24,0.0,0.0,0.0,88.0,747.0,0.0,87.0,131.71428571428572,precip_depth_1_hr_std_lag7
6,99.5,0.0,0.0,4.0,178.5,0.0,634.5,130.92857142857142,sea_level_pressure
16,15.5,0.0,0.0,0.0,0.0,0.0,696.0,101.64285714285714,cloud_coverage_std_lag7
4,193.5,27.0,20.5,53.0,346.5,0.0,48.0,98.35714285714286,dew_temperature
28,79.0,0.0,0.0,0.0,136.5,0.0,464.0,97.07142857142857,sea_level_pressure_std_lag7
12,173.0,0.0,0.0,37.0,124.0,0.0,300.5,90.64285714285714,air_temperature_std_lag7
17,303.0,0.0,4.5,127.0,168.5,2.0,11.0,88.0,dew_temperature_mean_lag7
32,472.5,0.0,20.0,25.0,74.5,0.0,0.0,84.57142857142857,wind_direction_std_lag7
43,22.5,0.0,414.5,0.0,0.0,154.0,0.5,84.5,primary_use_enc
23,0.0,0.0,0.0,192.0,262.5,0.0,0.0,64.92857142857143,precip_depth_1_hr_min_lag7
9,172.0,0.0,38.5,8.0,171.5,15.5,27.0,61.785714285714285,air_temperature_mean_lag7
38,178.0,0.0,0.0,0.0,246.5,0.0,0.0,60.642857142857146,weekday
25,87.0,0.0,0.0,12.0,89.5,0.0,203.0,55.92857142857143,sea_level_pressure_mean_lag7
31,222.5,0.0,0.0,0.0,108.5,0.0,0.0,47.285714285714285,wind_direction_min_lag7
22,0.0,0.0,123.5,75.0,79.0,0.0,0.0,39.642857142857146,precip_depth_1_hr_max_lag7
34,152.5,0.0,0.0,0.0,97.0,0.0,0.0,35.642857142857146,wind_speed_max_lag7
36,209.0,0.0,0.0,0.0,33.5,0.0,0.0,34.642857142857146,wind_speed_std_lag7
30,160.0,0.0,0.0,0.0,58.5,0.0,0.0,31.214285714285715,wind_direction_max_lag7
35,134.0,0.0,0.0,8.0,69.5,0.0,0.0,30.214285714285715,wind_speed_min_lag7
21,0.0,0.0,0.0,28.0,156.0,0.0,0.0,26.285714285714285,precip_depth_1_hr_mean_lag7
1,168.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,floor_count
5,0.0,0.0,0.0,20.0,118.5,0.0,0.0,19.785714285714285,precip_depth_1_hr
20,87.5,0.0,0.0,0.0,50.5,0.0,0.0,19.714285714285715,dew_temperature_std_lag7
13,94.0,0.0,0.0,0.0,0.0,0.0,3.0,13.857142857142858,cloud_coverage_mean_lag7
3,92.0,0.0,0.0,0.0,0.0,0.0,0.0,13.142857142857142,cloud_coverage
8,12.5,0.0,0.0,0.0,77.5,0.0,0.0,12.857142857142858,wind_speed
7,26.5,0.0,0.0,0.0,24.5,0.0,0.0,7.285714285714286,wind_direction
15,49.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,cloud_coverage_min_lag7
41,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.07142857142857142,weekend
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud_coverage_max_lag7
