number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state,key
0,-1.1906934730953247,2023-04-25 17:09:36.465886,2023-04-25 17:10:31.652446,0 days 00:00:55.186560,3.8201878191101865e-06,44,387,35,4.521988639101608,0.1929944348819715,13.518637716770172,0.27516281604766846,-1.1906934730953247,-1.160047449942254,-1.4385544736847171,-1.1483181012821886,-1.0158538674721396,0.7296398851093687,0.01308954175692797,0.15389835458757006,COMPLETE,1_0
1,-1.1910817565532403,2023-04-25 17:09:36.467319,2023-04-25 17:09:44.745706,0 days 00:00:08.278387,0.3451915537647719,28,409,17,176562.08317097957,4.520273143539669,2.0448830127716064,0.022291243076324463,-1.1910817565532403,-1.1603021194569356,-1.4386586729587563,-1.1488300103172966,-1.0165362234799726,0.1436409142506603,0.0025701966506084576,0.15369862456481337,COMPLETE,1_0
2,-1.1910817565532403,2023-04-25 17:09:36.470209,2023-04-25 17:09:45.942456,0 days 00:00:09.472247,0.3097150091101042,14,469,9,82763.94449483023,0.000409649724961753,2.3463889956474304,0.01948457956314087,-1.1910817565532403,-1.1603021194569356,-1.4386586729587563,-1.1488300103172966,-1.0165362234799726,0.16526581285203104,0.0005964481043523504,0.15369862456481337,COMPLETE,1_0
3,-1.1767785055535374,2023-04-25 17:09:36.470581,2023-04-25 17:09:48.423632,0 days 00:00:11.953051,0.014294354606710656,7,426,22,65632.14583100127,2.819048380106176,2.8949241042137146,0.09088146686553955,-1.1767785055535374,-1.1454363501684361,-1.437821076220687,-1.1465216254897659,-0.9773349703352603,0.4537087581484256,0.032350027056913686,0.165694566096972,COMPLETE,1_0
4,-1.435013036550362,2023-04-25 17:09:44.749864,2023-04-25 17:10:37.443870,0 days 00:00:52.694006,0.03888763561593094,10,321,50,0.040360230486190536,0.02318019949352364,12.890340745449066,0.2807016372680664,-1.435013036550362,-1.4880035974903705,-1.5798475183188334,-1.24145409804428,-1.4307469323479638,0.3229751989681241,0.03198433520266875,0.12376215998695377,COMPLETE,1_0
5,-1.1655796260046405,2023-04-25 17:09:45.945057,2023-04-25 17:10:08.985686,0 days 00:00:23.040629,0.00029796932217572846,13,409,10,0.0020576047055155472,3.7431034591424744e-05,5.597207844257355,0.16126495599746704,-1.1655796260046405,-1.1511469048836505,-1.4274982296649419,-1.1151729917629032,-0.968500377707066,0.1898325080617037,0.013282268366745498,0.1659749358091724,COMPLETE,1_0
6,-1.1870517300582895,2023-04-25 17:09:48.425041,2023-04-25 17:10:11.314002,0 days 00:00:22.888961,0.00011639502729768737,46,130,46,0.0017866600307077049,777.7499494703608,5.60923558473587,0.11132943630218506,-1.1870517300582895,-1.157545773795323,-1.4371041218602478,-1.143242767499083,-1.0103142570785042,0.20527532364731788,0.01697326337642517,0.15536421696827946,COMPLETE,1_0
7,-1.1856371835923902,2023-04-25 17:10:08.988354,2023-04-25 17:10:24.479244,0 days 00:00:15.490890,0.004765144757698621,34,143,22,0.8669005630375184,4.9631267697799745e-05,3.7827868461608887,0.08842092752456665,-1.1856371835923902,-1.1680764610606142,-1.4789985067526459,-1.0713628855848543,-1.0241108809714463,0.1359383824566914,0.011074091046167247,0.1771430259180995,COMPLETE,1_0
8,-1.1910817565532403,2023-04-25 17:10:11.315592,2023-04-25 17:10:17.837672,0 days 00:00:06.522080,1.0546804028814298e-07,21,377,33,757445.9387383248,5.043172211522191e-07,1.6082943677902222,0.02046060562133789,-1.1910817565532403,-1.1603021194569356,-1.4386586729587563,-1.1488300103172966,-1.0165362234799726,0.10078196952517397,0.0017830059754072166,0.15369862456481337,COMPLETE,1_0
9,-1.3033221639224604,2023-04-25 17:10:17.839818,2023-04-25 17:10:32.730952,0 days 00:00:14.891134,0.1310718522172889,28,453,12,293.5758811963088,27.334753836782927,3.6157535314559937,0.10541105270385742,-1.3033221639224604,-1.312360452554594,-1.437932634446277,-1.162663448726876,-1.3003321199620945,0.22224088411091958,0.006952850336207149,0.09746215157613555,COMPLETE,1_0
10,-1.2748405304620383,2023-04-25 17:10:24.482264,2023-04-25 17:11:24.590548,0 days 00:01:00.108284,0.10804922264908694,41,435,34,0.00022321383794605436,25649.509360594984,14.61781895160675,0.40637511014938354,-1.2748405304620383,-1.1144703978830859,-1.5089100082474487,-1.2566252171572796,-1.2193564985603393,0.2851720694278828,0.035748050486925045,0.14484247934306493,COMPLETE,1_0
11,-1.1910817565532403,2023-04-25 17:10:31.653581,2023-04-25 17:10:37.636772,0 days 00:00:05.983191,0.024984577666776864,11,347,40,1153397.9347594923,0.007202278573354794,1.4745463132858276,0.019534170627593994,-1.1910817565532403,-1.1603021194569356,-1.4386586729587563,-1.1488300103172966,-1.0165362234799726,0.08066602221048559,0.0012980672484701715,0.15369862456481337,COMPLETE,1_0
12,-1.166839635427925,2023-04-25 17:10:32.734001,2023-04-25 17:10:41.020184,0 days 00:00:08.286183,0.0005492957952686949,47,150,7,2.6843084781566238,0.0008419214640430131,2.007814586162567,0.06173121929168701,-1.166839635427925,-1.1407556339418943,-1.4267944313643737,-1.119985799513604,-0.9798226768918274,0.13261422238038129,0.009257934325264963,0.16234800259308893,COMPLETE,1_0
13,-1.1906900157686984,2023-04-25 17:10:37.444962,2023-04-25 17:10:49.081099,0 days 00:00:11.636137,0.00028758574233824646,-1,246,6,5.322376583859649e-06,4390365.880135587,2.820164740085602,0.08354705572128296,-1.1906900157686984,-1.15965052548034,-1.438511464948591,-1.1485578025671241,-1.016040270078738,0.04845941371603812,0.009511139857751733,0.1538315456024982,COMPLETE,1_0
14,-1.188127214945046,2023-04-25 17:10:37.638099,2023-04-25 17:10:51.401947,0 days 00:00:13.763848,0.0010519081296296417,-1,245,25,1.0528946757448757e-06,2021770.3801377497,3.338773548603058,0.0917588472366333,-1.188127214945046,-1.1553101380956183,-1.437649381643651,-1.146771253427959,-1.0127780866129554,0.3478267494011701,0.011462083686185915,0.1547545674339973,COMPLETE,1_0
